Date,UserName,Comment,Like
2025-04-12T05:27:12Z,@sekolahanambarawa3146,Masalah OST BUSINESS PROPOSAL ini saya cuma teringat lagu DRAKOR-nya OST LOVE MAYBE <br>Kenapa? ya karena yang mengisi lagu adalah DITA KARANG idol KPOP pertama asal Indonesia.<br>Nama Girl Group mereka adalah SECRET NUMBER,0
2025-04-12T02:27:30Z,@kimochi286,abidzar: baang udaaaah baaaang...😁🤣😂,0
2025-04-11T21:33:54Z,@lingbebe5818,Gk cck Ariel tatum ma tu cowo 😅😅😅 tengil,0
2025-04-11T08:21:58Z,@yohaneskustiadi9807,"the legend of aang aja 1 season dibuat jadi 2 jam film jelek banget, ngarep bisa bikin lebih bagus cuman waktu 1 jam lebih dikit",0
2025-04-11T07:21:55Z,@MrDontCare,"Ariel tatum hoki, cuci tangan dimana2, padahal dia jg bilang kalo gak mau nonton jg gpp, cuma lantaran dibilang lbh tua dr abidzar, lagian siapa yg bakal nonton film ariel tatum ?",0
2025-04-11T04:54:51Z,@gokyumi,"Jauh bgt anjir MC cowonya yg korea bening aura bos, yg indo dekil buluq kek kang parkir, belagu pula. Mampus kan beneran ga pada nonton wkwkwkkw",0
2025-04-11T03:10:49Z,@blueeliott,asik bgt op nya jirr,0
2025-04-10T15:47:06Z,@pocoyonamina,bjir baru sadar belom subskrep awokwokwok,0
2025-04-10T15:45:58Z,@Orimuraaa,Bner2 gak ketolong 😂 saking parahnya lho sampek kena cancel gini.. baru pertama kali di indo..,0
2025-04-10T14:11:07Z,@zihoe120cc9,"Aku tau kamu dongkol, bang tapi pelan2 aja yah soalnya aku juga engap takutnya kamu suaranya nanti serak. 😢😢<br>Tar ya, saya ambilkan aqua gelas dulu.",0
2025-04-10T07:13:41Z,@baesthetics6664,no 4. Jangan macem2 sama pecinta kucing,0
2025-04-09T13:58:11Z,@reynaldyehudagovianto8741,Apa nama theme song di awal flim nya bang,0
2025-04-20T09:58:37Z,@Heartstreaks23,Beethoven,0
2025-04-09T09:26:48Z,@Anomali_69-z1x,"Bro berfikir, kalo bapaknya setara dengan reza rahardian",0
2025-04-08T05:43:22Z,@andriwahyudi1615,"Ya jelas dikritiklah klo adaptasi dr drama korea yg sudah booming parah kaya bussines proposal, dr cast nya aja udah kayak gitu, jelas banget pasti bakal dibandingin, pasti ampas banget lah, klo mau adaptasi ambil dr drama2 amatir cina yg katanya ceritanya kureng, ini bs diperbaiki skripnya, klo hasilnya lebih bagus pasti bs booming",0
2025-04-07T11:25:13Z,@Aolady,"Bener2 anak emaknya ya. Emaknya dulu sering cari sensasi juga sepeninggal bang uje kan? Lagian, kayak aktingnya juago bener aja pake sok2an minciptikin kiriktir sindiri.<br>Yeah, masalahnya itu : dia gabisa akting ¯\_(ツ)_/¯",0
2025-04-07T11:24:43Z,@ddddaisy,Lagu intro judulnya apa bang,0
2025-04-07T13:40:17Z,@Mr_Bacot_,Beethoven virus,0
2025-04-07T14:51:29Z,@ddddaisy,@Mr_Bacot_  makasih bang,0
2025-04-07T08:17:41Z,@azuhadenough,itu ga di PR training apa gmn dah 😭,0
2025-04-07T01:28:18Z,@BramantyoHD,Bisikan jenazah masih lebih bagus😂,0
2025-04-05T16:47:12Z,@idkwhothiswas,Mungkin aja ada kaya &quot;inspiration by&quot; mungkin,0
2025-04-05T16:26:51Z,@VergiCrush,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=708"">11:48</a> SAYA MENDENGAR FILUSUF STOIK BRO ❤",0
2025-04-05T08:35:06Z,@janit2624,Ego dia nyusahin banyak orang sih 😂😂😂,0
2025-04-05T07:02:28Z,@VaniaAjah,"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=405"">6:45</a> Sebenernya omongan dia masi jauh lebi mending daripada si Rachel Zegler, pemeran utama Snow White 😅",1
2025-04-04T17:23:45Z,@wingggs7202,"Public speaking orang putus sekolah ya emang begitu bang,kagak ada etika,maen nyerocos ae",0
2025-04-04T15:34:28Z,@RaflaMozaBilqis,kata gw si mirip bgt FTV wkwkkwk,0
2025-04-04T13:02:43Z,@chocoppppi,"setelah liat berita downfall snow white, ini persis banget kasusnya wkwkw",0
2025-04-04T12:33:02Z,@Riski-f9u,Bang bahas film Disney terjelek,0
2025-04-04T09:38:50Z,@kagawitahitachine4744,"Gurl, t&#39;s not abaout fans fanatik, t&#39;s about the character, mereka adaptasi dari manhwa yang seharusnya si bizar bizar ini meng COSPLAY si karakter itu, si Falcon udah bawa nama Manhwa ini yg ekspektasinya bakal sama bahkan lebih bagus kan? So t&#39;s not bout fanatic, PROFESIONAL.",0
2025-04-04T01:04:12Z,@slepeer26,terkenal karna bapaknya aja udah udah lupa daratan😂,0
2025-04-03T12:57:46Z,@PlayRoom-k6z,"Selama masih di dunia hiburan, pemasukan utama berasal dari para penonton—masyarakat Indonesia, maka bertingkah yang benar, jangan arogan, kecuali memang tidak butuh penonton sama sekali. Aktor2 itu, terutama yang baru2 masuk ke dunia perfilman sebenarnya PERLU BANGET dapat training public speaking dari PH, menghindari blunder kayak gini. Jangan anggap remeh public speaking yang katanya cuma modal cuap2 di depan umum.",0
2025-04-03T12:54:18Z,@shuakusara5427,AWWW BRUTALNYO..pantesan gak butuh Netizen kan kan?? 😙😙,0
2025-04-03T03:40:39Z,@NingAyuPur,"Bukan cuma dalam 3 hal itu sih, dalam hal apapun, kita gak boleh ngeremehin apapun😮",0
2025-04-03T00:05:39Z,@ereinaldy20,hal lucu adalah ketika penjual menghina pembelinya sendiri wkwkwkwk,1
2025-04-02T22:25:02Z,@tbg6757,Sekarang saya ngerti kenapa reza rahardian selalu dipilih jadi pemeran utama😂😂😂,0
2025-04-02T15:37:50Z,@Putri-ani,Bang gua suka banget cara lu nyampein<br> dan editan videonya 😂,0
2025-04-02T15:28:43Z,@EDW..,"Beliau bermain bensin di tengah api nyala ... Kebakar dah sampai gosong<br>padahal bisa menyenangkan fans ga usah pakai sombong ingin membuat karakter yg berbeda dari sumbernya, ingat film live action Disney yg hancur gara-gara melenceng dan aneh-aneh dari film aslinya",0
2025-04-02T12:42:27Z,@auliaaskha2434,"lagian abidzar kl ngerasa berat ngapain mau ambil peran dalem film ini deh. semua kerjaan kan emang berat, tergantung pembawaan diri sendiri aja gimana. so sad sih sama kru film yg pastinya udh kerja keras bikin film ini rampung tapi hasilnya malah nihil abis.",0
2025-03-31T07:45:22Z,@julpianuschristanta6213,lebih banyak penonton youtube ini dari pada film itu 😂,1
2025-04-01T14:43:17Z,@Jhoentak15,"Njirr, bener lagi 😅",0
