Comment,Cleaned_Comment
"Gue bukan penikmat film Indonesia, boring semua, apalagi kalau film adaptasi no BANGET",penikmat indonesia boring adaptasi no
"Gue nnton Business Proposal karena remake nya, abizar cool juga kok. Gak jauh beda dengan pemain aslinya. Udah deh, jngan judge org lain karena prestasinya, saling menghargai aja. Aku juga suka drakor, tp tdk bagaimna2 aja sih, santai aja.  <br>Btw kalian lucu film drakor d bela2in, film Indonesia harusnya kalian support, apa lagi pemainnya. Indonesia?😅",nnton business proposal remake abizar cool beda pemain aslinya deh jngan judge org prestasinya menghargai suka drakor tp tdk bagaimna2 santai btw lucu drakor d bela2in indonesia support pemainnya indonesia
Blacklist aj abidazar ity tengil x gayanya.ganteng aj enggak. Mending jefri nichol,blacklist aj abidazar ity tengil x gayanyaganteng aj mending jefri nichol
itu tetangga gw tiap sore main di P U L A U W I N,tetangga sore main p u l a u w i n
"gue ga paham bang, parameter untuk menjadi seorang &quot;fans fanatik drakor&quot;. pasalnya yg gue tonton bukan cuma drakor. gue juga suka dorama dan dracin.<br>semua tergantung aktor/aktrisnya.<br>bahkan mini series indonesia gue tonton, yang meranin reza rahardian sama prilly. <br>menurut gue yg dipermasalahkan oleh mayoritas adalah attitude si A ini. kalaupun dia ditanya ga nonton drama dan mau menciptakan versi dia sendiri menurut gue fans2 yg emang suka nonton sah2 aja gak sih. bakalan tetap nonton. <br>tp yg kedua si A ini terkesan merendahkan film2 dengan cara dia berbicara. padahal si A bukanlah aktor kelas dunia. beda hal nya kalau yg ngomong kek gini sekelas Bradpitt atau yg meranin Iron Man sapa tuh namanya. <br>si A ini juga bukannya diam aja malah koar2 mulu. padahal akting jg ga bagus2 amet. <br>ini sih yg lebih dipermasalahkan oleh mayoritas penikmat drama. sefanatik2 nya nonton drama tapi gak mungkin ga mencintai produk lokal sendiri. buktinya miracle 7 in cell dan my annoying brother saja sukses kok. karena tha meski itu remake, para penikmat film dan series ini menghargai usaha negara mereka.",paham parameter fanatik drakor pasalnya tonton drakor suka dorama dracinsemua tergantung aktoraktrisnyabahkan mini series indonesia tonton meranin reza rahardian prilly dipermasalahkan mayoritas attitude a drama menciptakan versi fans2 suka sah2 tp a terkesan merendahkan film2 berbicara a kelas dunia beda ngomong kek gini sekelas bradpitt meranin iron man sapa tuh namanya a diam koar2 mulu akting jg bagus2 amet dipermasalahkan mayoritas penikmat drama sefanatik2 drama mencintai produk lokal buktinya miracle 7 in cell my annoying brother sukses tha remake penikmat series menghargai usaha negara
"Abizar , adalah icon kegagalan  dan yang pasti adalah  GAK PUNYA NILAI JUAL ,   sangat setuju dg statmen : &#39; Mengapa pilih dia ... &#39;",abizar icon kegagalan nilai jual setuju dg statmen pilih
"Bingung gue juga demen bgt remake film luar ,bikin sendiri ga jauh2 dr horor 🤣 ,bikin kaya iklan Marjan kek yaa",bingung demen remake jauh2 dr horor kaya iklan marjan kek yaa
"&quot;pengen mencoba untuk tetap setia pada sumber aslinya, dengan versi drakornya&quot;. Kann berarti bener kan kalo ini film adaptasi dari drakor business proposal bukan webtoonnya, cuman si aktor udah blunder duluan dengan bilang gak nonton dan mau menciptakan karakternya sendiri padahal ini project remake. Disaat harusnya dia minta maaf sama netizen, dia malah tambahin bensin ke kemarahan netizen dengan bilang fans fanatik segala macem, sampek bilang toh mereka gak bakal diundang juga ke premiere. Makin ogah buat kdrama lovers nonton, akhirnya si aktris istilahnya masih membela diri biar minimal itu film ditonton dengan bilang film ini itu adaptasi dari webtoonnya yang 12 episode bukan drakornya. Padahal yang 12 episode itu drakornya bukan webtoonnya. Makin maleslah orang buat nonton.",pengen mencoba setia sumber aslinya versi drakornya kann bener adaptasi drakor business proposal webtoonnya cuman blunder duluan menciptakan karakternya project remake disaat maaf netizen tambahin bensin kemarahan netizen fanatik macem sampek diundang premiere ogah kdrama lovers aktris istilahnya membela biar minimal ditonton adaptasi webtoonnya 12 episode drakornya 12 episode drakornya webtoonnya maleslah
inilah pentingnya pendidikan agar kita bisa public speaking yang baik dan mengesampingkan ego,pendidikan public speaking mengesampingkan ego
Lagi nunggu dia jadi ustad😐🗿,nunggu ustad
kpopers kpopers...,kpopers kpopers
"Opening &quot;Cancel&quot; nya epic, keren bang wkwkwkwk",opening cancel epic keren wkwkwkwk
"<a href=""http://www.youtube.com/results?search_query=%23boikotabidzar"">#boikotabidzar</a>🔥🔥🔥🔥🔥",boikotabidzar
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=980"">16:20</a> waduh rasis gitu bre wkwkwkwkkw",1620 rasis gitu bre wkwkwkwkkw
"jangankan kalah sama rating Boruto, ini film juga kalah ratingnya sama hentai apalagi rating boku no pico😹",kalah rating boruto kalah ratingnya hentai rating boku no pico
Masih mending remake drakor nya si Nikita Willy sama si Morgan Oey waktu dulu deh,mending remake drakor nikita willy morgan oey deh
"Indonesia itu gak cocok remake Drakor..... Lebih cocok remake film India, thailand, cina 😂😂😂",indonesia cocok remake drakor cocok remake india thailand cina
sayang sekali film lumayan yang dapat nilai 6 dari bung timo malah dirusak oleh pemainnya sendiri. yang nilai 3-4 saja bisa jutaan penonton,sayang lumayan nilai 6 timo dirusak pemainnya nilai 34 jutaan penonton
"Ketika kang dagang cilok, ngehina penikmat cilok 😌",kang dagang cilok ngehina penikmat cilok
Salut bang.. Tetep nonton drakornya biar tahu expectation nya gmn,salut tetep drakornya biar expectation gmn
"Bayangin, kand dagang, tp malah bilang klo makanny pake racun 😌😌😌",bayangin kand dagang tp makanny pake racun
gak ada niatan buat nonton...<br>lebih mending nonton horor meskipun sampah,niatan nontonlebih mending horor sampah
Pengen banget nonton tapi di beberapa bioskop dekat rumah sudah tidak ada.,pengen bioskop rumah
jangan lupakan kaum fe sama slot bang.,lupakan kaum fe slot
"Abidzar Al-Ghifari sangat berani menyulut fans korea yg terkenal solid , atau mungkin dia sedang memasak .",alghifari berani menyulut korea terkenal solid memasak
"Sorry to say, aktor&amp;aktrisnya aja kaga sesuai koq. Awal denger informasinya excited tapi pas liat para pemainnya, aahhh jauh dari ekspektasi 😢 yg cwo nya kaga ganteng&quot; amat, cwe nya juga sama kaya ketuaan. Sorry ini hnya POV aku saja ga maksa org lain buat setuju.",sorry to say aktoraktrisnya kaga sesuai koq denger informasinya excited pas liat pemainnya aah ekspektasi cwo kaga ganteng cwe kaya ketuaan sorry hnya pov maksa org setuju
FILM KALAU MAU LAKU HARUS MELAYANI MAYORITAS 😅,laku melayani mayoritas
"Salah loh selain 3 golongan yang tidak boleh disenggol tadi, ada 1 golongan yang menjadi juara diantara 3 golongan diatas, yaitu:<br>GOLONGAN EMAK EMAK<br><br>Berani senggol, kelar idup lo😂",salah loh 3 golongan disenggol 1 golongan juara 3 golongan diatas yaitugolongan emak emakberani senggol kelar idup lo
Fiks ga mau nonton😂 tapi kalau udah tayang di OTT boleh😅,fiks tayang ott
Ga blajar jari snow white ❄👸 yg baru itu 🤣🤣🤣🤣,blajar jari snow white
:v ga ada bedanya sama nonton Romance CEO di Short drama... :v kejelekannya jadi komedi buat gua... :v,v bedanya romance ceo short drama v kejelekannya komedi v
Pesan aja buat abidzar..kamu itu menjual jasa istilahnya...kudu bs menjaga attitude km jangan songong...PR kamu yg kudu dibetulin...,pesan abidzarkamu menjual jasa istilahnyakudu bs menjaga attitude km songongpr kudu dibetulin
"Rule ke 4 itu seharusnya pemain game, baru rule berikutnya jangan remehkan ke 4 kategori tersebut. Contohnya dari remehin pemain game: The Last of Us 2, Dragon Age Veilguard, Concord, etc.",rule 4 pemain game rule remehkan 4 kategori contohnya remehin pemain game the last of us 2 dragon age veilguard concord etc
"Bener orang nih, boleh idealis tapi nggak semua posisi diterapkan. Kalau dari awal udah tahu kpop fans keras parah, ngapain masih diambil dek2.",bener nih idealis nggak posisi diterapkan kpop keras parah ngapain diambil dek2
Public figure indo memang sangatlah rendahan &amp; memalukan🤣🤣🤣🤣,public figure indo rendahan memalukan
Cuma bisa senyum karena ulahnya 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,senyum ulahnya
Mungkin abidzar ngerasa jamaahnya umi pipik lebih banyak dari fans drakor diindo 😂😂,ngerasa jamaahnya umi pipik drakor diindo
"Gw penggemar novel Balada Si Roy Bang, dari jaman sekolah, karena bagus ceritanya, bikin gw berani berpergian jauh. eh pas difilm&#39;in &amp; dibintangin si abi bikin hancur ekspektasi, kurang dapet &quot;feel&quot; Roy nya, udh cerita nya diubah2, pengenalan tokoh2 nya kurang detail, alur nya loncat2. 10 seri buku dijadiin film durasi sekitar 2 jam&#39;an. Kacau banyak cerita yg ilang. Kecewa pokoknya 😂",penggemar novel balada roy jaman sekolah bagus ceritanya berani berpergian eh pas difilmin dibintangin abi hancur ekspektasi dapet feel roy cerita diubah2 pengenalan tokoh2 detail alur loncat2 10 seri buku dijadiin durasi 2 jaman kacau cerita ilang kecewa pokoknya
"Teman-teman, gini ya, bagi kalian yang mungkin masih cynical sama Kpopers/Kdrama lovers.<br>Kita itu udah biasa banget sama yang namanya cancel culture. Dan hal ginian masif dilakukan di SoKor. Gue gak tau nih, apakah di Jepang kayak gini juga untuk industri hiburan. Tapi yang jelas di SoKor yang namanya cancel culture ini udah &#39;lumrah&#39;. Umumnya, para audiens/penyimak setia akan melakukan ini KALAU si figur publik sudah problematik. Bisa jadi juga dilakukan apabila yang bersangkutan kena skandal besar. Banyak aktor/aktris yang namanya gak naik lagi sejak di-cancel sama masyarakat SoKor. Contoh: Yoo Ah-in, Yoo Chun JYJ, dsb. Sekali kena, maka udah alamat kagak bakal nampang lagi di sana. Bahkan filmnya Song Joongki aja termasuk flop di sana, meski dia gak secara langsung sih kena cancel culture **cari tahu sendiri deh penyebabnya.<br><br>Yang jadi perkara adalah attitude dari Abidzar. Public speakingnya menghadeh banget. Cara dia mengkomunikasikan itu sangatlah buruk. Menganggap enteng dan cenderung meremehkan bahkan terkesan arogan. Ini yang jadi duduk permasalahannya. Sebenarnya, masalah akan selesai kalau dia minta maaf kali pertama dia dikritik. Toh, kritikannya mayoritas membangun kok. Meminta dia dengan baik untuk lebih research lagi tentang sebuah peran/karakter yang diperankan. Gak ada yang salah dengan itu. Namun, Abidzar justru memutarbalikan omongan, seolah dia adalah korban/playing-victim - bawa-bawa isu rasial dsb. Walaupun gue akuin ada, tapi bukan itu faktor utama dia kena kritikan kan? Ketidakcocokan aktor terhadap peran yang dimainkan juga pernah huru-hara waktu Iqbal ditetapkan sebagai Dilan. Apakah Iqbal menanggapi? Tidak. Dengan bijak dia diam dan membuktikan kalau ternyata dia berhasil sebagai Dilan. Sama halnya ketika Vino G Sebastian sangat mendalami perannya untuk Miracle in Cell. Kemudian Reza Rahadian juga memerankan tokoh utama dalam film Pasutri Gaje, meski dibilang gak cocok, tapi apakah Reza protes atau menanggapi netizen? Tidak. Reza diam. Membuktikannya. <br><br>Semoga ini jadi pembelajaran bagi para aktor/aktris lainnya suatu saat. Kalau Anda terlibat dalam produksi sinema yang berhubungan dengan Korea atau diadaptasi/remake dari aslinya, maka harus tanggungjawab dengan peran tersebut. Jangan ngegampangin. Lo idealis boleh, tapi juga harus ingat bahwa AUDIENS UTAMA proyek itu adalah pecinta Korea, bukan India. Bijak-bijaklah dan serius menjadi seorang aktor. Jangan karena Anda anggap diri Anda terkenal punya followers banyak, jadi seenak-enak jidat.",temanteman gini cynical kpoperskdrama loverskita namanya cancel culture ginian masif sokor nih jepang kayak gini industri hiburan sokor namanya cancel culture lumrah audienspenyimak setia figur publik problematik bersangkutan kena skandal aktoraktris namanya dicancel masyarakat sokor contoh yoo ahin yoo chun jyj dsb kena alamat kagak nampang filmnya song joongki flop langsung kena cancel culture cari deh penyebabnyayang perkara attitude public speakingnya menghadeh mengkomunikasikan buruk menganggap enteng cenderung meremehkan terkesan arogan duduk permasalahannya selesai maaf kali dikritik kritikannya mayoritas membangun research perankarakter diperankan salah memutarbalikan omongan korbanplayingvictim bawabawa isu rasial dsb akuin faktor utama kena kritikan ketidakcocokan peran dimainkan huruhara iqbal ditetapkan dilan iqbal menanggapi bijak diam membuktikan berhasil dilan halnya vino g sebastian mendalami perannya miracle in cell reza rahadian memerankan tokoh utama pasutri gaje dibilang cocok reza protes menanggapi netizen reza diam membuktikannya semoga pembelajaran aktoraktris terlibat produksi sinema berhubungan korea diadaptasiremake aslinya tanggungjawab peran ngegampangin lo idealis audiens utama proyek pecinta korea india bijakbijaklah serius anggap terkenal followers seenakenak jidat
Ini jdi pelajaran mahal nih buat si abidzar di industri tmpt dia kerja,jdi pelajaran mahal nih industri tmpt kerja
Cape gak sih ngasih review nge gass terus ??   Serius nanya....soalnya sy pribadi dengernya jg cape.. maaf ya kritik membangun,cape ngasih review nge gass serius nanyasoalnya sy pribadi dengernya jg cape maaf kritik membangun
"padahal review spoiler aja bang, org ga bagus",review spoiler org bagus
"You can&#39;t openly hate the original source of the movie, unless you&#39;re Robert Pattinson. Tapi, even Robert Pattinson aja yang gak tahan baca Twilight tetap totalitas buat memerankan karakter Edward Cullen. Dan akhir-akhir ini juga Robert bikin pernyataan kalau dia nyesel bilang dia benci Twilight.  Abidzar pengen mengikuti jejak Robert Pattinson atau gimana?",you cant openly hate the original source of the movie unless youre robert pattinson even robert pattinson tahan baca twilight totalitas memerankan edward cullen akhirakhir robert pernyataan nyesel benci twilight pengen mengikuti jejak robert pattinson gimana
Pembukaan nya keren banget 🔥🔥🔥,pembukaan keren
Gua yakin bos falcon marah besar 😂😂😂,bos falcon marah
"Di hollywood udh ada Rachel Zegler, ehh di Indo malah muncul juga Abidzar 😂",hollywood rachel zegler ehh indo muncul
Hati hati sombong ini cuma dunia kecil yang berada di luasnya alam semesta ciptaan Alloh SWT 😊.,hati hati sombong dunia luasnya alam semesta ciptaan alloh swt
"terlepas dari narasi abidzar yg blunder, gk se expect bakal hancur Kyak gini sih film,,penonton under 50k rating 1 per 10,,, film ini merusak pangsa pasarnya,militan bgt fans drakor",terlepas narasi blunder expect hancur kyak gini filmpenonton under 50k rating 1 10 merusak pangsa pasarnyamilitan drakor
"Mirip adaptasi anime yg gagal, 12 eps dikompres jadi 1 movie live action jadinya mengecewakan",adaptasi anime gagal 12 eps dikompres 1 movie live action mengecewakan
"TYSM bang Timo! berkat aku nontonin terus video kontenmu, aku jadi tau film berkualitas gimana. kontenmu sangat bermanfaat bang buat aku yg kaum mendang mending untuk nonton di bioskop. semangat terus bang ngekontennya!!",tysm timo berkat nontonin video kontenmu berkualitas gimana kontenmu bermanfaat kaum mendang mending bioskop semangat ngekontennya
anjir langsung kangen 02 jam,anjir langsung kangen 02 jam
Harusnya aktornya belajar agama dulu baru belajar akting,aktornya belajar agama belajar akting
Mungkin ada gejolak kawula muda di sosok Abizar yang rebel tapi dapat image kuat anak ustad kondang. Musti lebih wise nggak usah dilematis tapi malah merusak masa depannya sendiri. Gila aja satu film mahal hancur karena satu orang. Mahal banget.  Pelajaran berharga nih dalam beratittude.,gejolak kawula muda sosok abizar rebel image kuat anak ustad kondang musti wise nggak dilematis merusak depannya gila mahal hancur mahal pelajaran berharga nih beratittude
Sebetulnya kuncinya sih cuma 1 ya: Jangan nantangin Netizen. karena Netizen itu anonim. Kamu serang satu yang tersinggung semua yg baca. Termasuk GUAA yang ngga tau apa2,kuncinya 1 nantangin netizen netizen anonim serang tersinggung baca guaa ngga apa2
Menurut gw si abizar ngelamtur 😂,abizar ngelamtur
Abidzar ini tipe org yg dlu msih kecil tralu dimanja orangtuanya<br><br>kl jatuh disalahin lantainya<br>kl pgn ap selalu dikasi<br><br>jadinya pas msuk masyarakat ya mati kyk gini<br>tapi wajar ga sih? secara bapaknya org baik terkenal dulu meninggal muda<br>jadi emg ga ad yg bisa didik kerasnya dunia,tipe org dlu msih tralu dimanja orangtuanyakl jatuh disalahin lantainyakl pgn ap dikasijadinya pas msuk masyarakat mati kyk ginitapi wajar bapaknya org terkenal meninggal mudajadi emg ad didik kerasnya dunia
Kamu menuai apa yang kamu tanam. Kan begitu,menuai tanam
Anjir di tonton Homelander 😂😂😂,anjir tonton homelander
Ini review paling nampol 😂 tolong abidzar lu nonton,review nampol tolong
Dia nantang target pasar nya udah kayak nantang hatersnya 😅 ..,nantang target pasar kayak nantang hatersnya
Satu lagi entitas yang kita gak boleh macem2... fans taylor swift,entitas macem2 taylor swift
Paling bagus remake cuman kang mak….😂😂😂😂😂,bagus remake cuman kang mak
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=400"">6:40</a>, waduh roman salute😮, hati hati aja bang nanti diclip banyak orang",640 roman salute hati hati diclip
Dahlah tobat tobat,dahlah tobat tobat
Wah belum bikin ratting aku otw ratting 1 lah ikut ikutan,ratting otw ratting 1 ikutan
"Kalau aja, kalau aja nih ya. Misalnya abidzar ngomongnya pas ditanya nonton apa nggak drama  dan baca webtoonnya. Trus jawabannya gini :<br>Gue nonton, dan perhatikan karakter yang bakal gw peranin. Dan tentu di film gw mencoba adaptasi sesuai dengan naskah yang gue dapet, disitu ada beberapa adegan pengembangan karakter yang menyesuaikan dengan culture Indonesia. Nonton ya guys. Semoga bisa menghibur 🙏.<br><br>Insyaallah gak begini endingnya. Meskipun nanti aktingnya biasa aja, plotnya aneh, penulisannya kureng, setidaknya para &quot;fans fanatik&quot; ini akan mau mencoba nonton aja dulu. Pait pait ratting 3,5 lah.<br>Lha ini udh terlanjur, ya terima aja kenyataan. Baik baik minta maaf sama rekan aktor, kru film dan semua yg terlibat dalam project film ini. Jadikan pelajaran untuk masa depan. Semoga bisa belajar lagi untuk public speakingnya. Terutama pada adegan kruisial seperti Promo Film.",nih ngomongnya pas nggak drama baca webtoonnya trus jawabannya gini perhatikan peranin mencoba adaptasi sesuai naskah dapet disitu adegan pengembangan menyesuaikan culture indonesia guys semoga menghibur insyaallah endingnya aktingnya plotnya aneh penulisannya kureng fanatik mencoba pait pait ratting 35 lahlha terlanjur terima kenyataan maaf rekan kru terlibat project jadikan pelajaran semoga belajar public speakingnya adegan kruisial promo
Nga ini film bagus... terimakasih tim yg keren. Tapi maaf km harus belajar jadi dewasa dan tau kamu bekerja itu dengan siapa.,nga bagus terimakasih tim keren maaf km belajar dewasa
"mungkin kalo dia sdikit saja rendah hati dalm mempromokan film ini, tidak ada separah ini. ya pembelajaran bagi yang mau belajar",sdikit rendah hati dalm mempromokan separah pembelajaran belajar
Ariel Tatum dewasa bgt handle masalah ini 😭,ariel tatum dewasa handle
"Abis dengerin ini, Aku makin Bahagia gak jadi nonton😂Dari sekian byk drakor yang aku tonton, A Bussines Proposal adalah salah 1 drama yang cerita sampingannya gak kalah sama alur cerita utama, sama2 dinantikan banget tiap muncul episode baru🤩",abis dengerin bahagia nontondari sekian byk drakor tonton a bussines proposal salah 1 drama cerita sampingannya kalah alur cerita utama sama2 dinantikan muncul episode
Lah gw wibu. Apakah se ganas itu wibu indonesia. 😅,wibu ganas wibu indonesia
INI YANG GW TUNGGU,tunggu
"Gua bukan kpopers , bukand fans kdrama ..  dan gk peduli jga dgn film ini , tapi mmng dri awal gwe kurng suka si abidzar krena lagak dan attitude nya yg kontras sma orng tuanya.. dan jga looks dia itu trhitung pas22an tpi sok ganteng bngst !!<br>Trus malah ada kjadian ini y tmbh lgi orang22 yg cuma gk suka dan tdk peduli jdi ikut22an mnghujat dan menjatuhkanya.<br><br>Note : meskipun gua gk suka sma si abizar gwe gk ikutan hujat di sosmed , krena gwe gk peduli film nya. Diatas pndpat yg bsa gwe simpulin.",kpopers bukand kdrama peduli jga dgn mmng dri gwe kurng suka krena lagak attitude kontras sma orng tuanya jga looks trhitung pas22an tpi sok ganteng bngst trus kjadian y tmbh lgi orang22 suka tdk peduli jdi ikut22an mnghujat menjatuhkanyanote suka sma abizar gwe ikutan hujat sosmed krena gwe peduli diatas pndpat bsa gwe simpulin
"Heran, yg udh jelas² berkasus, masuk penjara, akhlaknya minus aja ga dicancel ini gegara salah omongan doang, segitunya....maaf kalau sy ga sepaham sama sebagian besar neti",heran berkasus masuk penjara akhlaknya minus dicancel gegara salah omongan doang segitunyamaaf sy sepaham neti
"Tapi emang Abizar ini mesti belajarlah berkata bijak, sebagai public figure penting sekali menjaga image dan tetap humble. Contoh kayak waktu dijodoh-jodohin sama cintya Mariska, ok fine kalau lu ga suka tapi ga usah mengeluarkan kata² yg cukup kasar, carilah kata yg lebih halus. Imbasnya ke lu sendiri man....",abizar mesti belajarlah bijak public figure menjaga image humble contoh kayak dijodohjodohin cintya mariska ok fine suka mengeluarkan kasar carilah halus imbasnya man
"Permasalahan pertama waktu trailernya tayang banyak yang gak suka pemilihan pemeran terutama tokoh kang taemo . Tapi Waktu itu masih banyak yang positif thinking termasuk saya. ya mungkin gak bisa berekspektasi soal pemeran ,karna tampilan orang korea dengan disini jelas beda . Trailernya cukup oke sepertinya lucu dan komedinya di sesuaikan dengan disini . Tapi waktu pernyataan tokoh utama mau nyiptain karakter sendiri makannya gak riset sedangkan ini karya adaptasi mancing lah orang orang tambah gak suka orang yang awalnya masih ok ok aja malah hilang respect karna kesannya sombong dan tidak menghargai karya aslinya yang diadaptasi. Bukannya minta maaf muncul lah pernyataan kedua kalo yang gak suka pasti fans fanatik tambah marah dong orang orang. Masih gak minta maaf juga dan malah ada pernyataan selanjutnya, orang orang gak akan di undang dan gak butuh penonton yang gak suka sama dia. Berujung dengan hanya 6.000 an yang nonton itu pun kayaknya ibu ibu pengajian dari ibunya . Baru deh falcon dan dia minta maaf . Sayangnya udah telat . Wajar ya buat orang punya prespektif gak suka, rasis itu emang kadang masalah dan buat tersinggung . cuma sekarang gimana cara nanggepin dan ngerespondnya aja. Kalo caranya sombong begitu orang yang awalnya masih respect pun hilang respect. Jangan pernah merasa diatas angin masih banyak aktor lainnya. Besok besok yakin sutradara lain mau menggunakan dia sebagai aktornya setelah kontroversi ini? . Perbaiki dulu attitude nya. Kamu gak bisa ngerubah ras dan tampilan mu tapi kamu harus bisa buktiin bahwa kamu gak seburuk orang yang rasis . Tapi dengan counter yang terkesan sombong itu bukan jalan yang bener . Kenapa kamu harus kehilangan orang yang respect cuma perkara kamu terganggu dengan orang yang rasis. Sekarang kamu kehilangannya kedua duanya karna sombong .",permasalahan trailernya tayang suka pemilihan pemeran tokoh kang taemo positif thinking berekspektasi pemeran karna tampilan korea beda trailernya oke lucu komedinya sesuaikan pernyataan tokoh utama nyiptain makannya riset karya adaptasi mancing suka ok ok hilang respect karna kesannya sombong menghargai karya aslinya diadaptasi maaf muncul pernyataan suka fanatik marah maaf pernyataan undang butuh penonton suka berujung 60 an kayaknya pengajian ibunya deh falcon maaf sayangnya telat wajar prespektif suka rasis kadang tersinggung gimana nanggepin ngerespondnya sombong respect hilang respect diatas angin besok besok sutradara aktornya kontroversi perbaiki attitude ngerubah ras tampilan mu buktiin seburuk rasis counter terkesan sombong jalan bener kehilangan respect perkara terganggu rasis kehilangannya duanya karna sombong
Bener lagi bagian rambutnya ga bisa gw terima sampe skrng,bener rambutnya terima sampe skrng
"Intinya, dr case abidzar ini dia membuat seolah-olah penonton itu tidak penting. Dah gitu aja. Padahal penonton Indonesia sekarang dah cerdas2. Penonton tuh nggak harus k-pop er kdrama dll lho ya. Apalagi ini marketnya mereka. Ya habis kau!",intinya dr case seolaholah penonton dah gitu penonton indonesia dah cerdas2 penonton tuh nggak kpop er kdrama dll lho marketnya habis kau
Ustad Jeffry be like: not my son 🙂‍↔️,ustad jeffry be like not my son
"tau nggak apa yang akan gua lakukan kalo salah omong &quot;saya cuman liat 1 episode &amp;bikin karekter sendiri&quot; yang gua lakukan, ya karna setelah saya lihat episode 1 kayak nya nggak cocok buat latar indonesia jadi saya memilih untuk membuat karakter baru yang bisa cocok untuk di indonesia, kalo gini pasti banyak yang penasaran",nggak lakukan salah omong cuman liat 1 episode karekter lakukan karna lihat episode 1 kayak nggak cocok latar indonesia memilih cocok indonesia gini penasaran
Jadi mantep buat gk nonton,mantep
selama masih cari uang dari netizen sih jangan berulah lah ya,cari uang netizen berulah
Gua kira Kim hawt yang maen,kim hawt maen
"pemilihan castnya juga ngawur. di sini yang terkesan kayak bos itu ariel tatum, si abidzar malah kayak karyawan fresh graduate.",pemilihan castnya ngawur terkesan kayak bos ariel tatum kayak karyawan fresh graduate
"Pokoknya kalau namanya adaptasi ya berusaha sesuai kan dengan yg ada kalau mau beda ya jangan adaptasi,aneh",pokoknya namanya adaptasi berusaha sesuai beda adaptasianeh
"Rocky gerung pernah berkata &quot;kalau ikan dipaksa untuk memanjat pohon, maka ikan tersebut akan terlihat bodoh&quot;abizair cocoknya peranin jalaram di film shifa sebagai partner ladusingh",rocky gerung ikan dipaksa memanjat pohon ikan bodohabizair cocoknya peranin jalaram shifa partner ladusingh
"Fans-nya di katain fanatik , tpi di ajak karna di bayar mau mau aja :(",fansnya katain fanatik tpi ajak karna bayar
Abizar INI cocoknya kerja do UBISOFT sama-sama cari ribut sama target pasarnya,abizar cocoknya kerja do ubisoft samasama cari ribut target pasarnya
Mau gak mau suka gak suka kalo nge remake drama/film yaa sudah PASTI akan dibandingkan dg drama/film ASLI nya yaa… makanya riskan bgt padahal tp indo seneng bgt nge remake…,suka suka nge remake dramafilm yaa dibandingkan dg dramafilm asli yaa riskan tp indo seneng nge remake
Bang.. Bahas jumbo.. Trailer nya udh keluar,bahas jumbo trailer
Beneran gk da yang nonton plot twis banget😂,beneran da plot twis
"6.900 penonton x Rp. 50.000/tiket<br>=345 juta rupiah<br><br>Sukur- sukur dapat  1M sampe akhir tayang bioskop<br>Gimana gaji artis, penulis, figuran, staf, karyawan?<br>Belum lagi biaya konsumsi , sewa tempat dan alat, dll?<br><br>Ruuuugi dong 😂😂😂",6900 penonton x rp 50tiket345 juta rupiahsukur sukur 1m sampe tayang bioskopgimana gaji artis penulis figuran staf karyawanbelum biaya konsumsi sewa alat dllrugi
mestinya jangan pakai judul yg sama,mestinya pakai judul
Stidaknya msl memang gk ntn gk baca webtoonnya jgn  blak2 jg ya allah...,stidaknya msl ntn baca webtoonnya jgn blak2 jg allah
"(5) Cat lover, mayan galak juga tuh mereka.",5 cat lover mayan galak tuh
"Bro, klaim mereka, ini mereka adaptasi dari Webtoonnya, bukan drakornya &quot;Katanya&quot;",bro klaim adaptasi webtoonnya drakornya
Dia gak tol*l bang cuma gobl*k aja level tingkat dewa,toll goblk level tingkat dewa
"Orangtuanya udah bener, kenapa anaknya gini?",orangtuanya bener anaknya gini
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=37"">0:37</a> intronya terlalu niat bung",037 intronya niat
pentingnya publc speaking untuk public figure. udah banyak tempat kursusnya jg,publc speaking public figure kursusnya jg
"Cocok remake mahabrata, asgggaaa😅",cocok remake mahabrata asga
Film yg di adaptasi dr korea ke Indonesia rata&quot; jelek dan aneh...  jomplang bngt kualitasnya,adaptasi dr korea indonesia jelek aneh jomplang bngt kualitasnya
Cocok dia di pasangin sm Rachel zigler snow white 🤣,cocok pasangin sm rachel zigler snow white
dia kal bukan anak uje cuma mas2 jamet,kal anak uje mas2 jamet
tarnyata baru sadar kalau aldi taher lebih baik dari meraka wkwkwkw,tarnyata sadar aldi taher meraka wkwkwkw
"Falcon bangkrut,, mampuss",falcon bangkrut mampuss
