Comment,Cleaned_Comment
"Keseringan adaptasi bikin jd kurang imajinatif,kurang kreatif,taunya cm nyari cuan secara singkat.",keseringan adaptasi jd imajinatifkurang kreatiftaunya cm nyari cuan singkat
p,p
Kebanyakan drama indo kang copas drama Korea 😂,kebanyakan drama indo kang copas drama korea
"Kasih contoh donk, kasih judulnya gitu",kasih contoh donk kasih judulnya gitu
"Orang tolol mana tau arti adaptasi, 😂",tolol arti adaptasi
KOREA SAMPAH 😂,korea sampah
Udah tau fans nya fanatik malah lu nyari masalah 😂,fanatik nyari
Wkwkw malah nyari masalah sama kpopers/ drakor lovers 😂😂,wkwkw nyari kpopers drakor lovers
Opening mantab banget wkowkow,opening mantab wkowkow
Ahahaha,ahahaha
kelas,kelas
"Abidzar berfikir ia adalah Walter dengan pride dan ego nya, sama² ga ngerti posisi dan cmn perlu kerja doang padahal lingkungan kerja nya udh enak",berfikir walter pride ego ngerti posisi cmn kerja doang lingkungan kerja enak
Bro pikir dia Robert Downey junior,bro pikir robert downey junior
"gak berlaku di Indo saja, contohnya snow white. artisnya mlethe kayak dia",berlaku indo contohnya snow white artisnya mlethe kayak
Marketingnya menangis pas mereka ngomong gitu. &#39;bangs*t lah gua udh cape2 promosi sana sini malah hancur karena congor tuh org&#39;,marketingnya menangis pas ngomong gitu bangst cape2 promosi hancur congor tuh org
ehh judul lagu openingnya namanya apa ya?,ehh judul lagu openingnya namanya
Palkon 😢😢😢😂😂,palkon
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1"">0:01</a>",001
"Serius, gw gak nonton drakornya tapi statementnya di pers konferensi asli trigger beut. Bayangin penontonnya.",serius drakornya statementnya pers konferensi asli trigger beut bayangin penontonnya
"Betullllll gara2 MULUT aktornya yg nggak di saring+g hati2 didepan MEDIA n g mikirin dampaknya.Filmnya jdi Banyak di Hujaaat.Kasihan para Crew,pemain dll yg terlibat n bkerja <a href=""http://keras.eh/"">keras.Eh</a> malah di hujattttt abis.....gimna prasaan pmain2 asli Koreanya klo tau.Pasti lbih sdih😢😢😢😢",gara2 mulut aktornya nggak saringg hati2 didepan media n g mikirin dampaknyafilmnya jdi hujatkasihan crewpemain dll terlibat n bkerja keraseh hujat abisgimna prasaan pmain2 asli koreanya taupasti lbih sdih
"Pas mereka ngmong &quot;kalo gk mau nnton gpp&quot;, disitu pasti muntah semua mkanan yg udah dimakan seharian oleh pak sutradara dan produser film!! <br><br>Sambil dalam hati berkata, &quot;jianccccookkkk!!!&quot;😂😂😂",pas ngmong nnton gpp disitu muntah mkanan dimakan seharian sutradara produser hati jiancook
"Congor nya kebablasan kayak nya 😂, koq berasa kayak dia dari aŵal mau nunjukin Film nya bakal sukses meskipun ga mendalami karakter utama nya.. aneh banget sih sumpah 😅",congor kebablasan kayak koq berasa kayak aal nunjukin sukses mendalami utama aneh sumpah
6.900 aja masi kebanyakan awokawokawok,6900 masi kebanyakan awokawokawok
-Color gradingnya model dark knight<br>- wajah aktornya  kurang,color gradingnya model dark knight wajah aktornya
Trgetmya bukan cuma Fans kpopnya tapi yg non kpopers juga makanya dibuat versi indonya agar non kpopers juga tertarik,trgetmya kpopnya non kpopers versi indonya non kpopers tertarik
Sbnrnya bukan cuma fans Kpop atau jejepangan yg tidak dimacam²min tapi fans apapun klu Fanatik yah Fatal klu gk sesuai,sbnrnya kpop jejepangan dimacammin apapun klu fanatik yah fatal klu sesuai
jaketnya cakep banget bang :(,jaketnya cakep
Lagian claimnya adaptasi webtoon nya tapi judulnya jiplak drakornya &quot;A BUSINESS PROPOSAL&quot;.<br>Kalo mau konsisten bilang ini adaptasi webtoon ya judulin aja &quot;THE OFFICE BLIND DATE&quot;.,claimnya adaptasi webtoon judulnya jiplak drakornya a business proposalkalo konsisten adaptasi webtoon judulin the office blind date
Kenapa bawa bawa fans bola bang? 🤨,bawa bawa bola
"Lagi lagi adegan cium, lagi lagi adegan 18sx 😂",adegan cium adegan 18sx
Gua ke sini Karna abidzar somasi org yg komentar negatif ke dia,karna somasi org komentar negatif
"snow white nya indonesia ini, ancur gara2 1 orang yg arogan",snow white indonesia ancur gara2 1 arogan
"Dan yg bikin nambah kacau sbnrnya pemeran pendukungnya pun pd ikutan blunder. Pake ngmng “ ini adaptasi dari webtoon ya bkn kdramanya” yg mana judul film mrka sama dgn judul kdrama bkn webtoon. Sok ngerti, ga cari tau dlu, dan dgn angkuh ngaku “ga nntn kdrama dan ga baca webtoonnya” woww 😂😅",nambah kacau sbnrnya pemeran pendukungnya pd ikutan blunder pake ngmng adaptasi webtoon bkn kdramanya judul mrka dgn judul kdrama bkn webtoon sok ngerti cari dlu dgn angkuh ngaku nntn kdrama baca webtoonnya woww
harus ny mreka belajar dari Maya Kitazima tokoh utama dari komik Topeng Kaca lah😁,ny mreka belajar maya kitazima tokoh utama komik topeng kaca
Richel Jegler versi Lokal,richel jegler versi lokal
Ke 4 harusnya fans fuji bang,4 fuji
BAYANGIN KALAU REZA RAHARDIAN DISURUH PENARIN ALM PAK HABIBIE TERUS REZA RAHARDIAN BILANG &quot;SAYA AKAN MEMBUAT KARAKTER SENDIRI&quot; <br>😂😂😂😂😂😂,bayangin reza rahardian disuruh penarin alm habibie reza rahardian
Next film harus di remake jadi busines revisi😮😮,next remake busines revisi
"Mnurutku mereka pilih Ariel sama Abizar itu karna pengen buat yang melokal aja gitu bg, yang Indonesia bgt mukanya. Nah tp aku bingung nih di sini, kalo kita buat film adaptasi dari negara org lain itu boleh kita ubah atau ga boleh diubah ya? Jadi kalo dikorea berkulit putih ya di adaptasi kita hrs yg berkulit putih juga? Aku blm tau soal ilmu perfilm an ini soalnya😔 pengen tauuu bgt, yg sekolah filmm, mnurutmu gimana? Blh di spill kah?",mnurutku pilih ariel abizar karna pengen melokal gitu bg indonesia mukanya tp bingung nih adaptasi negara org ubah diubah dikorea berkulit putih adaptasi hrs berkulit putih blm ilmu perfilm an pengen sekolah filmm mnurutmu gimana blh spill kah
"Tai banget ini orang kalo ngomong, tpi suka sii 😂",tai ngomong tpi suka sii
KESOMBONGAN KRN MERASA ANAK PEMUKA AGAMA,kesombongan krn anak pemuka agama
Aktor sok&quot;an awkwkwkwk kena batunya sok keras sihhh dan anehnya dia yakinn dengan mengubah sesuatu versi dia kemudian yakin akan delusinya bahwa dia akan menghasilkan sesuatu dari itu wkwkw lawak kali sok yakin bgt kalau dia akan wah gt wkwkw bro lupa dia di Indonesia wkwkw,sokan awkwkwkwk kena batunya sok keras anehnya yakinn mengubah versi delusinya menghasilkan wkwkw lawak kali sok gt wkwkw bro lupa indonesia wkwkw
"mungkin dia udah ngerasa SUPEERRR STARR, yang yakin aktingnya KELASSS BANGETT. ampass",ngerasa supeer starr aktingnya kelas bangett ampass
Masalah OST BUSINESS PROPOSAL ini saya cuma teringat lagu DRAKOR-nya OST LOVE MAYBE <br>Kenapa? ya karena yang mengisi lagu adalah DITA KARANG idol KPOP pertama asal Indonesia.<br>Nama Girl Group mereka adalah SECRET NUMBER,ost business proposal lagu drakornya ost love maybe mengisi lagu dita karang idol kpop indonesianama girl group secret number
abidzar: baang udaaaah baaaang...😁🤣😂,baang
Gk cck Ariel tatum ma tu cowo 😅😅😅 tengil,cck ariel tatum ma tu cowo tengil
"the legend of aang aja 1 season dibuat jadi 2 jam film jelek banget, ngarep bisa bikin lebih bagus cuman waktu 1 jam lebih dikit",the legend of aang 1 season 2 jam jelek ngarep bagus cuman 1 jam dikit
"Ariel tatum hoki, cuci tangan dimana2, padahal dia jg bilang kalo gak mau nonton jg gpp, cuma lantaran dibilang lbh tua dr abidzar, lagian siapa yg bakal nonton film ariel tatum ?",ariel tatum hoki cuci tangan dimana2 jg jg gpp lantaran dibilang lbh tua dr ariel tatum
"Jauh bgt anjir MC cowonya yg korea bening aura bos, yg indo dekil buluq kek kang parkir, belagu pula. Mampus kan beneran ga pada nonton wkwkwkkw",anjir mc cowonya korea bening aura bos indo dekil buluq kek kang parkir belagu mampus beneran wkwkwkkw
asik bgt op nya jirr,asik op jirr
bjir baru sadar belom subskrep awokwokwok,bjir sadar belom subskrep awokwokwok
Bner2 gak ketolong 😂 saking parahnya lho sampek kena cancel gini.. baru pertama kali di indo..,bner2 ketolong saking parahnya lho sampek kena cancel gini kali indo
"Aku tau kamu dongkol, bang tapi pelan2 aja yah soalnya aku juga engap takutnya kamu suaranya nanti serak. 😢😢<br>Tar ya, saya ambilkan aqua gelas dulu.",dongkol pelan2 yah engap takutnya suaranya serak tar ambilkan aqua gelas
no 4. Jangan macem2 sama pecinta kucing,no 4 macem2 pecinta kucing
Apa nama theme song di awal flim nya bang,nama theme song flim
Beethoven,beethoven
"Bro berfikir, kalo bapaknya setara dengan reza rahardian",bro berfikir bapaknya setara reza rahardian
"Ya jelas dikritiklah klo adaptasi dr drama korea yg sudah booming parah kaya bussines proposal, dr cast nya aja udah kayak gitu, jelas banget pasti bakal dibandingin, pasti ampas banget lah, klo mau adaptasi ambil dr drama2 amatir cina yg katanya ceritanya kureng, ini bs diperbaiki skripnya, klo hasilnya lebih bagus pasti bs booming",dikritiklah adaptasi dr drama korea booming parah kaya bussines proposal dr cast kayak gitu dibandingin ampas adaptasi ambil dr drama2 amatir cina ceritanya kureng bs diperbaiki skripnya hasilnya bagus bs booming
"Bener2 anak emaknya ya. Emaknya dulu sering cari sensasi juga sepeninggal bang uje kan? Lagian, kayak aktingnya juago bener aja pake sok2an minciptikin kiriktir sindiri.<br>Yeah, masalahnya itu : dia gabisa akting ¯\_(ツ)_/¯",bener2 anak emaknya emaknya cari sensasi sepeninggal uje kayak aktingnya juago bener pake sok2an minciptikin kiriktir sindiriyeah gabisa akting
Lagu intro judulnya apa bang,lagu intro judulnya
Beethoven virus,beethoven virus
@Mr_Bacot_  makasih bang,mrbacot makasih
itu ga di PR training apa gmn dah 😭,pr training gmn dah
Bisikan jenazah masih lebih bagus😂,bisikan jenazah bagus
Mungkin aja ada kaya &quot;inspiration by&quot; mungkin,kaya inspiration by
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=708"">11:48</a> SAYA MENDENGAR FILUSUF STOIK BRO ❤",1148 mendengar filusuf stoik bro
Ego dia nyusahin banyak orang sih 😂😂😂,ego nyusahin
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=405"">6:45</a> Sebenernya omongan dia masi jauh lebi mending daripada si Rachel Zegler, pemeran utama Snow White 😅",645 sebenernya omongan masi lebi mending rachel zegler pemeran utama snow white
"Public speaking orang putus sekolah ya emang begitu bang,kagak ada etika,maen nyerocos ae",public speaking putus sekolah bangkagak etikamaen nyerocos ae
kata gw si mirip bgt FTV wkwkkwk,ftv wkwkkwk
"setelah liat berita downfall snow white, ini persis banget kasusnya wkwkw",liat berita downfall snow white persis kasusnya wkwkw
Bang bahas film Disney terjelek,bahas disney terjelek
"Gurl, t&#39;s not abaout fans fanatik, t&#39;s about the character, mereka adaptasi dari manhwa yang seharusnya si bizar bizar ini meng COSPLAY si karakter itu, si Falcon udah bawa nama Manhwa ini yg ekspektasinya bakal sama bahkan lebih bagus kan? So t&#39;s not bout fanatic, PROFESIONAL.",gurl ts not abaout fanatik ts about the character adaptasi manhwa bizar bizar meng cosplay falcon bawa nama manhwa ekspektasinya bagus so ts not bout fanatic profesional
terkenal karna bapaknya aja udah udah lupa daratan😂,terkenal karna bapaknya lupa daratan
"Selama masih di dunia hiburan, pemasukan utama berasal dari para penonton—masyarakat Indonesia, maka bertingkah yang benar, jangan arogan, kecuali memang tidak butuh penonton sama sekali. Aktor2 itu, terutama yang baru2 masuk ke dunia perfilman sebenarnya PERLU BANGET dapat training public speaking dari PH, menghindari blunder kayak gini. Jangan anggap remeh public speaking yang katanya cuma modal cuap2 di depan umum.",dunia hiburan pemasukan utama berasal penontonmasyarakat indonesia bertingkah arogan kecuali butuh penonton aktor2 baru2 masuk dunia perfilman training public speaking ph menghindari blunder kayak gini anggap remeh public speaking modal cuap2
AWWW BRUTALNYO..pantesan gak butuh Netizen kan kan?? 😙😙,aw brutalnyopantesan butuh netizen
"Bukan cuma dalam 3 hal itu sih, dalam hal apapun, kita gak boleh ngeremehin apapun😮",3 apapun ngeremehin apapun
hal lucu adalah ketika penjual menghina pembelinya sendiri wkwkwkwk,lucu penjual menghina pembelinya wkwkwkwk
Sekarang saya ngerti kenapa reza rahardian selalu dipilih jadi pemeran utama😂😂😂,ngerti reza rahardian dipilih pemeran utama
Bang gua suka banget cara lu nyampein<br> dan editan videonya 😂,suka nyampein editan videonya
